Date,OIL,GOLD,USDIDR,SP500,IHSG,VIX,CPI,BI_rate,US_rate
2014-07-01,105.33999633789062,1326.4000244140625,11885.0,1973.3199462890625,4884.63525390625,11.149999618530273,6.39492882396559,7.5,0.09
2014-07-02,104.4800033569336,1330.699951171875,11865.0,1974.6199951171875,4908.08251953125,10.819999694824219,6.39492882396559,7.5,0.09
2014-07-03,104.05999755859375,1320.4000244140625,11900.0,1985.43994140625,4888.544921875,10.319999694824219,6.39492882396559,7.5,0.09
2014-07-04,104.05999755859375,1320.4000244140625,11905.0,1985.43994140625,4905.6337890625,10.319999694824219,6.39492882396559,7.5,0.09
2014-07-07,103.52999877929688,1316.5,11860.0,1977.6500244140625,4988.83642578125,11.329999923706055,6.39492882396559,7.5,0.09
2014-07-08,103.4000015258789,1316.0,11725.0,1963.7099609375,5024.51611328125,11.979999542236328,6.39492882396559,7.5,0.09
2014-07-09,102.29000091552734,1323.800048828125,11665.0,1972.8299560546875,5024.51611328125,11.649999618530273,6.39492882396559,7.5,0.09
2014-07-10,102.93000030517578,1338.699951171875,11615.0,1964.6800537109375,5097.8115234375,12.59000015258789,6.39492882396559,7.5,0.09
2014-07-11,100.83000183105469,1337.0,11570.0,1967.5699462890625,5032.4033203125,12.079999923706055,6.39492882396559,7.5,0.09
2014-07-14,100.91000366210938,1306.300048828125,11605.0,1977.0999755859375,5020.8671875,11.819999694824219,6.39492882396559,7.5,0.09
2014-07-15,99.95999908447266,1296.9000244140625,11663.0,1973.280029296875,5070.62353515625,11.960000038146973,6.39492882396559,7.5,0.09
2014-07-16,101.19999694824219,1299.5999755859375,11720.0,1981.5699462890625,5113.73095703125,11.0,6.39492882396559,7.5,0.09
2014-07-17,103.19000244140625,1316.699951171875,11642.0,1958.1199951171875,5071.0048828125,14.539999961853027,6.39492882396559,7.5,0.09
2014-07-18,103.12999725341797,1309.199951171875,11660.0,1978.219970703125,5086.81640625,12.0600004196167,6.39492882396559,7.5,0.09
2014-07-21,104.58999633789062,1313.699951171875,11615.0,1973.6300048828125,5126.923828125,12.8100004196167,6.39492882396559,7.5,0.09
